,Make,Ex-Showroom_Price,Displacement,Fuel_Tank_Capacity,Fuel_Type,City_Mileage,Type
461,Tata Zest Xt Petrol,"Rs. 7,32,475",1193 cc,44 litres,Petrol,13.2 km/litre,Manual
462,Tata Zest Xm Diesel,"Rs. 7,67,317",1248 cc,44 litres,Diesel,19.2 km/litre,Manual
463,Tata Zest Xms Diesel,"Rs. 7,93,898",1248 cc,44 litres,Diesel,19.2 km/litre,Manual
464,Tata Zest Xt Diesel,"Rs. 8,55,362",1248 cc,44 litres,Diesel,19.2 km/litre,Manual
465,Tata Zest Xma Diesel,"Rs. 8,36,320",1248 cc,44 litres,Diesel,19.2 km/litre,AMT
466,Tata Zest Xta Diesel,"Rs. 9,89,000",1248 cc,44 litres,Diesel,19.2 km/litre,Automatic
467,Tata Zest Zest Premio Edition,"Rs. 7,88,797",1248 cc,44 litres,Diesel,19.2 km/litre,Manual
468,Honda Amaze S Cvt Petrol,"Rs. 7,63,000",1199 cc,35 litres,Petrol,,Automatic
469,Honda Amaze E Mt Diesel,"Rs. 7,05,000",1498 cc,35 litres,Diesel,,Manual
470,Honda Amaze E Mt Petrol,"Rs. 5,93,000",1199 cc,35 litres,Petrol,,Manual
471,Honda Amaze S Cvt Diesel,"Rs. 8,65,000",1498 cc,35 litres,Diesel,,Automatic
472,Honda Amaze V Cvt Petrol,"Rs. 8,23,000",1199 cc,35 litres,Petrol,,Automatic
473,Honda Amaze V Cvt Diesel,"Rs. 9,25,000",1498 cc,35 litres,Diesel,,Automatic
474,Honda Amaze S Mt Diesel,"Rs. 7,85,000",1498 cc,35 litres,Diesel,,Manual
475,Honda Amaze Vx Mt Diesel,"Rs. 8,93,000",1498 cc,35 litres,Diesel,,Manual
476,Honda Amaze V Mt Diesel,"Rs. 8,45,000",1498 cc,35 litres,Diesel,,Manual
477,Honda Amaze Vx Mt Petrol,"Rs. 7,81,000",1199 cc,35 litres,Petrol,,Manual
478,Honda Amaze V Mt Petrol,"Rs. 7,33,000",1199 cc,35 litres,Petrol,,Manual
479,Honda Amaze S Mt Petrol,"Rs. 6,73,000",1198 cc,35 litres,Petrol,,Manual
480,Honda Amaze Exclusive Edition Diesel,"Rs. 9,06,000",1498 cc,35 litres,Diesel,,Manual
481,Honda Amaze Exclusive Edition Petrol,"Rs. 7,94,000",1199 cc,35 litres,Petrol,,Manual
482,Honda Amaze Vx Cvt Diesel,"Rs. 9,66,000",1498 cc,35 litres,Diesel,,Automatic
483,Honda Amaze Vx Cvt Petrol,"Rs. 8,64,000",1199 cc,35 litres,Petrol,,Automatic
484,Honda Amaze Ace Edition Cvt Diesel,"Rs. 9,79,300",1498 cc,35 litres,Diesel,,Automatic
485,Honda Amaze Ace Edition Cvt Petrol,"Rs. 8,77,300",1199 cc,35 litres,Petrol,,Automatic
486,Honda Amaze Ace Edition Mt Diesel,"Rs. 9,06,300",1498 cc,35 litres,Diesel,,Manual
487,Honda Amaze Ace Edition Mt Petrol,"Rs. 7,94,300",1199 cc,35 litres,Petrol,,Manual
488,Maruti Suzuki Gypsy Hard Top,"Rs. 6,37,343",1298 cc,40 litres,Petrol,10.2 km/litre,Manual
489,Maruti Suzuki Gypsy Soft Top,"Rs. 6,22,730",1298 cc,40 litres,Petrol,10.2 km/litre,Manual
490,Hyundai Venue 1.2 Kappa Mt E,"Rs. 6,55,000",1197 cc,45 litres,Petrol,,Manual
491,Hyundai Venue 1.0 Turbo Gdi Mt S,"Rs. 8,26,000",998 cc,45 litres,Petrol,,Manual
492,Hyundai Venue 1.4 Crdi Mt E,"Rs. 7,80,000",1397 cc,,Diesel,,Manual
493,Hyundai Venue 1.0 Turbo Gdi Mt Sx,"Rs. 9,59,000",998 cc,45 litres,Petrol,,Manual
494,Hyundai Venue 1.0 Turbo Gdi Mt Sx Dual Tone,"Rs. 9,74,000",998 cc,45 litres,Petrol,,Manual
495,Hyundai Venue 1.0 Turbo Gdi Mt Sx(O),"Rs. 10,65,000",998 cc,45 litres,Petrol,,Manual
496,Hyundai Venue 1.0 Turbo Gdi Dct S,"Rs. 9,40,000",998 cc,45 litres,Petrol,,DCT
497,Hyundai Venue 1.0 Turbo Gdi Dct Sx Plus,"Rs. 11,15,500",998 cc,45 litres,Petrol,,DCT
498,Hyundai Venue 1.2 Kappa Mt S,"Rs. 7,25,000",1197 cc,45 litres,Petrol,,Manual
499,Hyundai Venue 1.4 Crdi Mt S,"Rs. 8,50,000",1397 cc,,Diesel,,Manual
500,Hyundai Venue 1.4 Crdi Mt Sx,"Rs. 9,83,000",1397 cc,,Diesel,,Manual
501,Hyundai Venue 1.4 Crdi Mt Sx Dual Tone,"Rs. 9,98,000",1397 cc,,Diesel,,Manual
502,Hyundai Venue 1.4 Crdi Mt Sx(O),"Rs. 10,89,000",1397 cc,45 litres,Diesel,,Manual
503,Tata Nexon Xe,"Rs. 6,95,000",1198 cc,44 litres,Petrol,,Manual
504,Tata Nexon Xm,"Rs. 7,70,000",1198 cc,44 litres,Petrol,,Manual
505,Tata Nexon Xz,"Rs. 8,70,000",1198 cc,44 litres,Petrol,,Manual
506,Tata Nexon Xz Plus,"Rs. 9,50,000",1198 cc,44 litres,Petrol,,Manual
507,Tata Nexon Xz Plus Dual Tone,"Rs. 9,70,000",1198 cc,44 litres,Petrol,,Manual
508,Tata Nexon Xz Plus (O),"Rs. 10,40,000",1198 cc,44 litres,Petrol,,Manual
